frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,2.0,[894.0174560546875 265.628173828125 1114.755126953125 503.0377197265625],[957.794677734375 418.21563720703125 1049.236572265625 446.18817138671875],0.5036872625350952,GLJVOS03,0.005023442672690005
2,2.0,[894.6486206579306 267.46616685989045 1116.5576792065483 505.8291470739358],[961.1197509765625 416.0748596191406 1041.0045166015625 444.8881530761719],0.48763859272003174,LUIVA,0.10536998260031387
3,2.0,[894.124830879516 267.2596266133744 1116.737982824333 506.59816913022314],[962.257080078125 420.92999267578125 1043.537841796875 445.81988525390625],0.47684767842292786,42,0.25004641288826834
4,2.0,[894.5726678771347 266.4337713635721 1117.4788942876814 506.9535412954597],[963.3671875 420.45367431640625 1045.5859375 445.85675048828125],0.5135351419448853,BLJTIA3,0.02471942674055548
5,2.0,[895.3276691481207 265.1020596947056 1118.2617724964168 506.48681494406213],[963.1278076171875 423.92767333984375 1048.2730712890625 447.21160888671875],0.5128359198570251,TEXJILAA,0.024806413367870504
6,2.0,[895.4910387888805 263.63351427119596 1118.3971932859201 506.53737051781377],[960.305419921875 423.49237060546875 1048.894775390625 447.80328369140625],0.42714911699295044,UWAJ,0.09758456695428838
7,2.0,[895.6253911879304 263.2710360405554 1119.7666329844762 507.98459308183203],[957.2237548828125 422.74053955078125 1043.3055419921875 448.13897705078125],0.5098313093185425,G4JIMIELJ,0.005896527062631392
8,2.0,[895.5011150852866 263.89717102888454 1121.3224797525638 510.90856444612604],[962.1922607421875 423.9554443359375 1046.99951171875 449.4224853515625],0.6390173435211182,GLUIY,0.0771004181171855
8,12.0,[582.8593538857095 285.3677467436911 822.6913232682733 488.91054107512537],[584.541259765625 365.71746826171875 775.857421875 425.34088134765625],0.2535912096500397,3,0.09785951436648421
9,2.0,[893.1550935617847 263.0743494980709 1121.6583655263664 513.3030792790138],[962.0037841796875 423.6538391113281 1047.1280517578125 449.0643615722656],0.6223428845405579,BLUIMID,0.03266667834034489
10,2.0,[891.5071640558124 262.4830641465783 1121.874463765921 515.0814503768764],[960.411376953125 422.79718017578125 1048.91845703125 449.90570068359375],0.6594047546386719,SLIVZEOJ,0.00624698096609885
11,2.0,[887.7936994735933 260.95300269351844 1121.1838818541448 516.1647991491055],[958.315185546875 423.098388671875 1049.948486328125 451.5252685546875],0.6438697576522827,T6LMF75,0.008653924155411864
13,2.0,[877.6379790825536 258.9844100808443 1118.794657794827 518.5424120599497],[955.220947265625 423.9554443359375 1047.9410400390625 453.9466552734375],0.5841820240020752,BAULYA5,0.005489141905258521
