frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,2,[724.7432861328125 146.20660400390625 1279.678466796875 709.8005981445312],[1012.43017578125 566.7235107421875 1193.6533203125 653.2498779296875],0.716336489,KA05MR9633,0.140728198
2,2,[724.7432861328125 146.20660400390625 1279.678466796875 709.8005981445312],[1012.43017578125 566.7235107421875 1193.6533203125 653.2498779296875],0.716336489,KA05MR9633,0.140728198
8,2,[724.499955384483 145.2283436625438 1279.9298818309253 709.8468381699142],[1013.2635498046875 565.3878173828125 1197.9388427734375 652.1226806640625],0.70311904,KA05HR9682,0.119305905
10,2,[724.6606386877747 145.302548955798 1279.8326456157813 708.1628311284635],[1012.7850952148438 565.0384521484375 1197.52685546875 649.1605224609375],0.720269024,KAO5HR9622,0.235764676
11,2,[724.3966769948023 145.19835567963048 1279.783476137497 707.9544916151312],[1013.095458984375 564.601318359375 1197.257568359375 648.7315673828125],0.71526742,KA05HR9632,0.202990023
16,2,[723.7240590567927 143.58059673779178 1279.9801424835173 710.227407314333],[1011.3261108398438 561.5670166015625 1196.91748046875 648.7122802734375],0.710741639,KA05MR9632,0.27506736
22,2,[722.8170889733947 141.00152653230106 1279.8118024791959 710.7961908986676],[1012.9411010742188 562.49560546875 1195.340087890625 645.7926025390625],0.701885343,KA05#R9633,0.33215966
24,2,[722.2212051041363 141.20772168185067 1279.7492953203844 711.0262248550586],[1012.615478515625 562.93359375 1194.0205078125 644.911865234375],0.709143519,KA05MR9638,0.251144063
25,2,[722.0493656692088 141.52204404169095 1279.842204113525 710.9927936918109],[1012.3345336914062 563.4132080078125 1193.357421875 643.7452392578125],0.712015152,KA05MR9632,0.215803002
28,2,[723.1002754353742 141.6060837802467 1280.3301281858523 706.8975727431825],[1018.5747680664062 561.5848388671875 1195.94482421875 646.6881103515625],0.755881131,KA05MR9632,0.432178624
29,2,[726.2931465381556 141.84563615519556 1281.4396153262664 706.503273005718],[1028.40087890625 564.0343627929688 1205.9609375 645.2748413085938],0.724686801,KA05MR9633,0.355880605
31,2,[740.6481521836745 141.3690772668856 1285.39892887451 704.7647022927862],[1042.08447265625 567.5462646484375 1219.557373046875 647.6229248046875],0.74985522,K405WR9633,0.176349144
32,2,[749.1915921405698 141.01409046989482 1286.479488551331 704.9553348423497],[1062.1761474609375 569.0686645507812 1236.0804443359375 649.8768920898438],0.752493143,KAO5WR9683,0.120240774
33,2,[765.4140120007203 139.6179907254549 1290.08889891156 703.8831188445305],[1071.946533203125 575.0949096679688 1257.15869140625 642.2529907226562],0.731017053,KA05NR9633,0.322251828
34,2,[779.0316215332424 137.83174787589087 1291.6050129717169 702.1087425023701],[1085.13330078125 576.0523681640625 1273.689697265625 642.4439697265625],0.711920559,KA05WR963},0.350450108
35,2,[792.3007128936877 138.22963006254855 1292.3804742294485 702.9698232902506],[1107.7647705078125 579.8687744140625 1278.3670654296875 648.5906982421875],0.821760774,KA05WR9622,0.096621194
80,52,[794.321254149365 143.40167555222268 1276.1062890765766 708.1965545834296],[1082.716064453125 577.6641845703125 1265.287841796875 658.3123779296875],0.76309973,KA05MR9633,0.255745615
82,52,[783.1621471372678 143.3360798701106 1274.6335267012255 705.9973421909935],[1076.70751953125 574.3773193359375 1254.94970703125 659.0196533203125],0.717719734,K405WR9633,0.444796455
83,52,[778.3232664233444 142.93353355465723 1274.9887111363303 703.975358160433],[1060.2010498046875 569.832763671875 1257.5704345703125 661.377197265625],0.766469419,KA05MR9633,0.410787804
84,52,[773.8019668258986 142.9000384063379 1275.3566961285749 704.3124889477546],[1058.3536376953125 571.6005859375 1239.9578857421875 657.822998046875],0.770438492,KA05MR9632,0.381184331
85,52,[766.8903679751868 141.72882524455207 1274.6512426185063 703.9718351030024],[1062.120361328125 571.4337158203125 1234.781982421875 653.8438720703125],0.766982973,K405MR9632,0.33480468
86,52,[761.752047702375 141.68643618050982 1274.832105975617 703.9676540474759],[1067.744140625 571.2562255859375 1234.90869140625 648.6964111328125],0.772032738,KA05MR9632,0.338358594
90,52,[746.3378946846976 140.70867006033512 1275.9482325698714 704.4973818096269],[1042.708740234375 565.842041015625 1220.517578125 651.03369140625],0.773210466,KA05MR9633,0.312926353
94,52,[736.8069455978928 135.48101339541734 1278.9167099449953 704.2133051046271],[1043.264892578125 563.1871337890625 1220.708984375 648.465087890625],0.775883257,KAO5MR9633,0.341752158
98,52,[735.7551115902688 131.3630390599913 1280.7118043089642 705.7360998153329],[1040.14990234375 564.1341552734375 1222.330322265625 644.0032958984375],0.756758809,KA05MR9633,0.349312723
102,52,[738.1080139623481 129.870856691136 1281.787247172298 704.5069834112514],[1036.90869140625 566.568115234375 1221.20166015625 649.808837890625],0.764125943,KAO5MR9633,0.199750726
104,52,[739.9100613351038 129.45830695161726 1281.9891911639872 703.127204998528],[1035.4801025390625 567.3721923828125 1218.9315185546875 651.3890380859375],0.758573532,K405MR9630,0.29544221
